,bbFatJetPt >= 250,ttFatJetPt >= 200,70 â‰¤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.855,BDTScoretauhtauevsAll >= 0.9918
JetMET,3419.0,3360.0,1710.0,127.0,5.0
Tau,1095.0,1092.0,302.0,23.0,2.0
EGamma,173.0,166.0,54.0,3.0,0.0
QCD Multijet,2031.436876777179,1994.11154213589,456.50938845502844,76.09824556795101,0.0
TT Had,46.25884085587515,43.10115065663851,21.09996328541616,1.5048440928597329,0.0
TT SL,226.34974878151354,217.67890863109116,166.15710545651615,13.502337842034493,0.9359104167679343
TT LL,126.46088506414088,121.29531026973154,97.23160494404395,6.932390139573111,0.5554467417538184
DY+Jets,609.9545337275467,607.1442048599713,586.5990816002303,10.700482350575413,0.5849050145527712
W+Jets,39.178677095222156,39.68722194827492,14.959593773395751,1.7887725555540936,0.0
Z+Jets,40.797908790038505,40.05684907226317,13.674339605547662,5.821606293616166,0.0
Hbb,3.0749200789985194,3.0234588296647167,2.002304407038946,1.2083186124217353,0.047809705501906594
ggF HHbb$\tau\tau$,0.21526203732858895,0.21212493310650005,0.19283611238315593,0.1172121773092889,0.014987720173516962
VBF HHbb$\tau\tau$ (SM),0.0039252680044456825,0.0037882611837587294,0.003437996107436658,0.0021689854045481302,0.0002671998906863139
ggF HHbb$\tau_h e$,0.052236465678384955,0.05126838475205586,0.047806420127351174,0.029181666009087795,0.013408773838759755
VBF HHbb$\tau_h e$ (SM),0.000923206654738956,0.0008832966460841813,0.0008300900947458274,0.0005309403185587832,0.0002457356680217854
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),0.5860381141666122,0.580325312201216,0.5492402030925961,0.39208692002625967,0.16950423217035238
