,bbFatJetPt >= 250,ttFatJetPt >= 200,50 â‰¤ ttFatJetPNetmassLegacy < 150,ttFatJetParTXtauhtauhvsQCDTop >= 0.3,bbFatJetParTXbbvsQCD < 0.907 or BDTScoretauhtauhvsAll < 0.996
JetMET,6045.0,5816.0,2563.0,2555.0,2554.0
Tau,876.0,870.0,430.0,429.0,429.0
QCD Multijet,3646.172075696225,3550.661968446777,1478.2406895830384,1477.550231496377,1477.550231496377
TT Had,91.39574738974021,86.01511651587154,51.94317886081055,51.94317886081055,51.94317886081055
TT SL,226.25945629193905,216.4178164318351,94.3826319920664,92.05426189878341,92.00773205224532
TT LL,103.7871576717723,99.22578243708026,39.68227292756997,38.26210418830242,38.26210418830242
DY+Jets,677.0627250765843,673.8390883071513,491.0880298155453,491.0928330992374,490.86850659195665
W+Jets,76.82287764151708,72.99178466788179,27.755924921904967,27.533666666138604,27.533666666138604
Z+Jets,79.94509473558537,76.70647554355205,18.155470784598748,18.005937834137363,17.982708222629867
Hbb,3.4010267537040413,3.3470368981551686,1.2750889333986994,1.2749756629906785,1.254995311460993
ggF HHbb$\tau\tau$,0.2078822665346003,0.20514411672016675,0.14558241725434895,0.14557802316342527,0.12769729127351603
VBF HHbb$\tau\tau$ (SM),0.0036523137713491143,0.0035324426260228145,0.002429292257435217,0.002428420566761731,0.0021127795509405982
ggF HHbb$\tau_h\tau_h$,0.11561909904214578,0.11446152520057157,0.07998494740671047,0.07998055331578681,0.06269389544026935
VBF HHbb$\tau_h\tau_h$ (SM),0.0019825937781062317,0.0019234858455091893,0.0012907184732464634,0.0012907184732464634,0.0009813419607613957
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.14009370970765,1.1309809005220797,0.9019352173789565,0.9019352173789565,0.6335351389784197
