,bbFatJetPt >= 250,ttFatJetPt >= 200,70 â‰¤ ttFatJetParTmassResApplied < 210,ttFatJetParTXtauhtaumvsQCDTop >= 0.3,bbFatJetParTXbbvsQCD < 0.731 or BDTScoretauhtaumvsAll < 0.8
JetMET,107686.0,104941.0,82119.0,4604.0,4094.0
Tau,5297.0,5234.0,2293.0,371.0,320.0
Muon,13450.0,13205.0,9345.0,358.0,336.0
QCD Multijet,29666.354517700314,28976.214696469575,13244.176400460412,1036.4448377980398,943.3927884573732
TT Had,1198.7264276292585,1153.8469825113705,898.4388876017736,30.033132444442735,26.890784690993492
TT SL,52424.879838273424,51692.25987462262,48807.297835332036,396.65821312737467,327.5104283595951
TT LL,14355.662378837083,14097.189892993152,13251.974777794425,219.19248658116598,160.38356393898135
DY+Jets,4464.701699334118,4414.613678771836,4191.234411667588,1614.0748234243927,1586.9551092147212
W+Jets,613.789126601343,587.4645703060446,360.58804904816736,12.031010425766706,11.335678035059923
Z+Jets,437.58956011088515,418.1749298233244,199.32723768214618,20.964973412921395,10.9343003375862
Hbb,40.695662355688725,39.96334744455342,30.247461732568464,4.350963543213917,2.1791168221480213
ggF HHbb$\tau\tau$,0.8632309185141854,0.8465674892459721,0.767331516901498,0.4125298227286768,0.21910938385267464
VBF HHbb$\tau\tau$ (SM),0.015138681295544966,0.014562648011289694,0.013008590716107955,0.007203323135864386,0.004060505320623076
ggF HHbb$\tau_h \mu$,0.18182743557993736,0.1785923027386898,0.16457449795998697,0.12375843454533178,0.03209457475761576
VBF HHbb$\tau_h \mu$ (SM),0.003175469473603105,0.0030591313354474455,0.0027798846597633002,0.002031797415126637,0.0005482816432055592
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.7771184520891614,1.7576533777818193,1.666337218178424,1.5368603547154085,0.27264460866713225
