,bbFatJetPt >= 250,ttFatJetPt >= 200,70 â‰¤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.731,BDTScoretauhtaumvsAll >= 0.8
JetMET,107686.0,104941.0,82119.0,8854.0,2649.0
Tau,5297.0,5234.0,2293.0,228.0,108.0
Muon,13450.0,13205.0,9345.0,449.0,240.0
QCD Multijet,29666.354517700314,28976.214696469575,13244.176400460412,1478.8013277129005,541.9936796402716
TT Had,1198.7264276292585,1153.8469825113705,898.4388876017736,121.40224625876778,17.325084413119903
TT SL,52424.879838273424,51692.25987462262,48807.297835332036,3453.1965506879033,790.4616274794976
TT LL,14355.662378837083,14097.189892993152,13251.974777794425,2194.8548232692456,589.7813668292315
DY+Jets,4464.701699334118,4414.613678771836,4191.234411667588,189.4332944696681,70.49734567619741
W+Jets,613.789126601343,587.4645703060446,360.58804904816736,26.652098052837417,4.9609353283739885
Z+Jets,437.58956011088515,418.1749298233244,199.32723768214618,64.22264486894633,25.004812975658695
Hbb,40.695662355688725,39.96334744455342,30.247461732568464,19.310977687203327,10.223852342784378
ggF HHbb$\tau\tau$,0.8632309185141854,0.8465674892459721,0.767331516901498,0.5717895068291163,0.28974998017637366
VBF HHbb$\tau\tau$ (SM),0.015138681295544966,0.014562648011289694,0.013008590716107955,0.008914707714869609,0.004298973080472652
ggF HHbb$\tau_h \mu$,0.18182743557993736,0.1785923027386898,0.16457449795998697,0.12235605232308461,0.11815018495582283
VBF HHbb$\tau_h \mu$ (SM),0.003175469473603105,0.0030591313354474455,0.0027798846597633002,0.001834449447783085,0.0017853843317428369
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.7771184520891614,1.7576533777818193,1.666337218178424,1.3708607246336533,1.3594151859072552
