,bbFatJetPt >= 250,ttFatJetPt >= 200,70 â‰¤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.91,ttFatJetParTXtauhtauevsQCDTop >= 0.999
JetMET,12486.0,12091.0,5726.0,277.0,6.0
Tau,1909.0,1895.0,540.0,17.0,0.0
EGamma,400.0,387.0,113.0,4.0,0.0
QCD Multijet,6618.707135754944,6458.481884764044,1605.4657617469143,54.32372837000244,0.0
TT Had,143.7912862079276,136.36213557221473,56.720246861586745,1.9471991034400198,0.0
TT SL,654.7505861057277,624.6314501786433,473.3450178940579,19.43791907309278,0.0
TT LL,351.591236241714,336.81726428823663,270.4948280459863,7.1220761316203856,0.13167417137272752
DY+Jets,1844.0795924092686,1833.442899659278,1761.2920280917601,17.415120908300352,0.5907144083871663
W+Jets,152.80235983953747,142.44317422062812,51.50930155912326,1.9180513381971647,0.0
Z+Jets,129.14857539812704,123.92391342973364,33.659119622629234,9.362902322813007,0.04531629330623841
Hbb,8.334469759129833,8.135589562425839,5.258341746785588,2.2666853318292413,0.10711097212656039
ggF HHbb$\tau_h e$,0.13712334250317615,0.13469006532353697,0.1244428260834441,0.05807716669584064,0.028793524071035193
VBF HHbb$\tau_h e$ (SM),0.0024717914909483376,0.0023860460571703823,0.002186518992472864,0.0011064896587605502,0.0005766067911518017
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.6332942223171074,1.617582033249455,1.5339879273192276,0.9260444092963732,0.5937843121762313
