,bbFatJetPt >= 250,ttFatJetPt >= 200,70 â‰¤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.91 or ttFatJetParTXtauhtauevsQCDTop < 0.999,ttFatJetParTXtauhtauevsQCDTop >= 0.3
JetMET,3419.0,3360.0,1710.0,1709.0,1701.0
Tau,1095.0,1092.0,302.0,302.0,298.0
EGamma,173.0,166.0,54.0,54.0,54.0
QCD Multijet,2031.436876777179,1994.11154213589,456.50938845502844,456.50938845502844,454.1624118419527
TT Had,46.25884085587515,43.10115065663851,21.09996328541616,21.09996328541616,21.09996328541616
TT SL,226.34974878151354,217.67890863109116,166.15710545651615,166.1148275841027,162.31335738136474
TT LL,126.46088506414088,121.29531026973154,97.23160494404395,97.17219515606942,93.69864884797441
DY+Jets,609.9545337275467,607.1442048599713,586.5990816002303,585.7571330222095,583.7296933000002
W+Jets,39.178677095222156,39.68722194827492,14.959593773395751,14.959593773395751,14.959593773395751
Z+Jets,40.797908790038505,40.05684907226317,13.674339605547662,13.674339605547662,13.674339605547662
Hbb,3.0749200789985194,3.0234588296647167,2.002304407038946,1.9603343609320751,1.9580527479297678
ggF HHbb$\tau_h e$,0.052236465678384955,0.05126838475205586,0.047806420127351174,0.03678413054820652,0.03678413054820652
VBF HHbb$\tau_h e$ (SM),0.000923206654738956,0.0008832966460841813,0.0008300900947458274,0.0006057540074939688,0.0006057540074939688
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),0.5860381141666122,0.580325312201216,0.5492402030925961,0.33814864653326404,0.33814763001491166
