,bbFatJetPt >= 250,ttFatJetPt >= 200,50 â‰¤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD < 0.91 or ttFatJetParTXtauhtauhvsQCDTop < 0.999,ttFatJetParTXtauhtauhvsQCDTop >= 0.3
JetMET,25907.0,25050.0,10443.0,10432.0,10393.0
Tau,2645.0,2618.0,1204.0,1204.0,1198.0
QCD Multijet,11954.347935960155,11635.381322971534,4503.883876770025,4503.858803696214,4503.292053895466
TT Had,296.78803756135454,279.74828388956115,166.1775918932559,166.1775918932559,166.15917124493058
TT SL,781.8908461384756,746.599162891039,333.02356912738287,333.0167208776012,324.07156545358515
TT LL,343.1544865307478,328.76810367192377,138.74205491800188,138.6828635964418,134.48108763233037
DY+Jets,2306.262322348275,2295.6267710908437,1671.6006122158694,1670.5218500685419,1668.2359650389892
W+Jets,333.0899980070536,315.98833452932087,140.2433028237266,140.2433028237266,140.0859058529388
Z+Jets,248.87592063246726,239.12171854109437,77.12111799155431,77.12111799155431,77.33044322781352
Hbb,11.223767001987547,10.919884325436836,4.41935953931738,4.258613877016189,4.255163980663376
ggF HHbb$\tau_h\tau_h$,0.3818044489153286,0.37540243432705817,0.2580497765003008,0.1731159115398815,0.17308614554894539
VBF HHbb$\tau_h\tau_h$ (SM),0.006422456361706543,0.006205946369920749,0.0042592473038729085,0.002759796150427528,0.002759796150427528
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),3.7255708516449717,3.696387628088472,2.937943186900257,1.535857614488095,1.535811834166856
