,bbFatJetPt >= 250,ttFatJetPt >= 200,50 â‰¤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.91,ttFatJetParTXtauhtauhvsQCDTop >= 0.999
JetMET,25907.0,25050.0,10443.0,525.0,11.0
Tau,2645.0,2618.0,1204.0,35.0,0.0
QCD Multijet,11954.347935960155,11635.381322971534,4503.883876770025,262.22598652539125,0.025073073811123458
TT Had,296.78803756135454,279.74828388956115,166.1775918932559,5.948347956872878,0.0
TT SL,781.8908461384756,746.599162891039,333.02356912738287,12.015630140797425,0.006848249781686659
TT LL,343.1544865307478,328.76810367192377,138.74205491800188,4.167972744591611,0.05919132156011146
DY+Jets,2306.262322348275,2295.6267710908437,1671.6006122158694,14.840579187222172,1.0787621473275606
W+Jets,333.0899980070536,315.98833452932087,140.2433028237266,3.9218838204980213,0.0
Z+Jets,248.87592063246726,239.12171854109437,77.12111799155431,16.548200509226206,0.0
Hbb,11.223767001987547,10.919884325436836,4.41935953931738,1.8302302723858024,0.16074566230119142
ggF HHbb$\tau_h\tau_h$,0.3818044489153286,0.37540243432705817,0.2580497765003008,0.1229871034957327,0.08493386496041933
VBF HHbb$\tau_h\tau_h$ (SM),0.006422456361706543,0.006205946369920749,0.0042592473038729085,0.0020612619594185567,0.0014994511534453807
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),3.7255708516449717,3.696387628088472,2.937943186900257,1.751635424075632,1.402085572412161
