,bbFatJetPt >= 250,ttFatJetPt >= 200,70 â‰¤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.851025641025641 or ttFatJetParTXtauhtaumvsQCDTop < 0.9887948717948718,ttFatJetParTXtauhtaumvsQCDTop >= 0.3
JetMET,30312.0,29603.0,24029.0,24028.0,989.0
Tau,1866.0,1848.0,903.0,902.0,137.0
Muon,5068.0,4977.0,3696.0,3696.0,122.0
QCD Multijet,8478.109954053045,8281.395309477086,3932.5586493638543,3932.5586493638543,359.97262620909135
TT Had,350.5204027255555,338.0721471655553,261.8300558237129,261.8300558237129,7.744690660941095
TT SL,16173.187947395016,15946.998608242517,15056.075649358701,15055.956907005404,116.73320238236849
TT LL,4429.37792572573,4353.263110032564,4092.3177977083956,4091.982345026857,66.48683135468727
DY+Jets,1300.2614187250197,1284.0944688652016,1215.7809277063816,1214.4660055545817,473.09345682284265
W+Jets,172.09717772748587,162.46318847221892,99.3607691958511,99.3607691958511,4.216446080821459
Z+Jets,121.38799962172423,116.65185020412264,51.64743648467132,51.45229423219918,7.02575812365762
Hbb,13.563219269171498,13.332828010596671,10.829363086784642,10.778820687654301,1.4727050487602165
ggF HHbb$\tau_h \mu$,0.05401487054660512,0.05299481310778072,0.049116284384335185,0.033407511441131146,0.021637851430018694
VBF HHbb$\tau_h \mu$ (SM),0.0010849427096098108,0.0010410069897815418,0.0009306194123144614,0.0006450553980122023,0.00041155311948264117
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.5430273333078257,0.5371944642091879,0.5082150026775111,0.23429080848482375,0.1959696326029008
